C,gamma,epsilon,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std
1,0.01,0.01,25.664992600080957,0.4887591180603393,18.589482079483485,0.13965498487859263,0.10468616503774761,0.022410175104519665
1,0.1,0.01,27.498562226974762,0.40260383079840234,21.237578797159617,0.1528048584686469,-0.027781324181884236,0.01681684052225247
1,scale,0.01,4.341141351250693,0.16947895063837531,2.8800109391667794,0.10670332194193835,0.9743791035678322,0.0014792125849284173
1,0.01,0.1,25.665319586992062,0.48868151332808785,18.590232341367834,0.139440103367614,0.10466366103503119,0.02239289777289179
1,0.1,0.1,27.50146319345913,0.40267202286575743,21.23752446490572,0.15256361772681332,-0.0279986326659206,0.01684979039915708
1,scale,0.1,4.339790000145817,0.16747543849990582,2.8788829998858203,0.10567400882989238,0.9743952362099408,0.0014581997193343485
1,0.01,0.5,25.666016493210833,0.48898955566661273,18.59609471054151,0.13822049189925995,0.10461528389487869,0.022397629512653883
1,0.1,0.5,27.5189542332994,0.4056044586118101,21.237965035000464,0.1505901467844685,-0.02931191569448712,0.017374259462363165
1,scale,0.5,4.336371797337227,0.17157904638660273,2.886478849615039,0.1028289832460358,0.9744346006051632,0.001508551545336775
10,0.01,0.01,19.791956553904942,0.688285427071288,12.68351759425334,0.3436060120513916,0.46747049974998633,0.02741136622535188
10,0.1,0.01,27.403075265275913,0.4155431575088628,21.146853547894317,0.14211118484124965,-0.02066079989016716,0.01795617462129328
10,scale,0.01,3.153915207114127,0.15106719408591537,2.027100959206394,0.07679814458917265,0.9864693177932269,0.001043905348042645
10,0.01,0.1,19.791424236933082,0.6881947803421214,12.693246022542336,0.3431008752298266,0.4674991619229159,0.027407030159546583
10,0.1,0.1,27.402747694317604,0.41562565946968116,21.146948034288183,0.1421055233087329,-0.02063630126922651,0.017955698722978197
10,scale,0.1,3.153860960728276,0.15338529210570823,2.025351487524924,0.07768602436303253,0.9864691731609169,0.0010640808011635394
10,0.01,0.5,19.789993679658046,0.6876657078422379,12.74294839987498,0.3414248983004012,0.4675768018776136,0.027372982957112248
10,0.1,0.5,27.40093117987529,0.41581270752262234,21.14735369536167,0.14213516734024675,-0.020500470321561482,0.017936635557037218
10,scale,0.5,3.1486713801496604,0.15384850726758284,2.030102081887269,0.08222695908700893,0.9865129429973779,0.0010714045554781177
100,0.01,0.01,15.809879038682832,0.6836942064709057,10.645559963066608,0.39664997011611347,0.6601622387214043,0.02202254693523656
100,0.1,0.01,26.768258454670196,0.31359335241648667,21.25179819159522,0.20934182334393348,0.026084453286846564,0.01035774915799759
100,scale,0.01,2.7841513799694844,0.17117393939998188,1.6875579993336038,0.09174590986610871,0.9894468473384054,0.0010995159920960287
100,0.01,0.1,15.823142689733903,0.6830695385054927,10.666703213641167,0.3974898154318405,0.6595930948433145,0.02200425025524105
100,0.1,0.1,26.76895668722211,0.3133852968999203,21.254301972328822,0.20959836639026344,0.02603373882040112,0.010331748510314837
100,scale,0.1,2.7815325399990725,0.1670929075173427,1.6865629080768183,0.09035258299027644,0.9894680917674279,0.0010662153530324374
100,0.01,0.5,15.884850574943954,0.6800987704784721,10.76987334732311,0.40080654409057725,0.6569386982236143,0.021918481116234897
100,0.1,0.5,26.772239479690676,0.31242374286744834,21.265790327848602,0.21089234426930664,0.02579518079058587,0.010220041759644229
100,scale,0.5,2.7808293916093416,0.16736863681978972,1.6993980856024185,0.08623887835751576,0.9894735686549799,0.0010667077948871087
200,0.01,0.01,15.808937573346872,0.6839630175371816,10.64315199459061,0.39676700271788157,0.6602028244372531,0.02202877892974992
200,0.1,0.01,26.768258454670196,0.31359335241648667,21.25179819159522,0.20934182334393348,0.026084453286846564,0.01035774915799759
200,scale,0.01,2.74123784958207,0.17350963202853167,1.649741897202066,0.09449824632344063,0.9897680502502093,0.0011055011073151176
200,0.01,0.1,15.822126611446029,0.6833068082682033,10.663894571091948,0.3976522144218072,0.6596369131619237,0.022009512712016593
200,0.1,0.1,26.76895668722211,0.3133852968999203,21.254301972328822,0.20959836639026344,0.02603373882040112,0.010331748510314837
200,scale,0.1,2.739415328391369,0.17145238229709373,1.6491637994702593,0.09353586936763514,0.989782319902414,0.0010889037676520676
200,0.01,0.5,15.884085190762113,0.6800759795280802,10.767079473483848,0.4009552653407229,0.6569718998110099,0.021915069043453833
200,0.1,0.5,26.772239479690676,0.31242374286744834,21.265790327848602,0.21089234426930664,0.02579518079058587,0.010220041759644229
200,scale,0.5,2.731842030253485,0.1624041094112304,1.6578628430862725,0.08808160364757989,0.9898412765059895,0.0010177613831677504
