季节,PM2.5,PM10,NO2,SO2,CO,O3
春季,41.25938281901585,109.71351125938281,37.90658882402002,13.012510425354462,0.7692743953294412,69.25938281901584
夏季,27.21268656716418,63.101212686567166,32.28264925373134,9.815298507462687,0.6878824626865672,78.98227611940298
秋季,38.62777777777778,84.75,44.65694444444444,14.7,0.9774351851851852,44.864814814814814
冬季,57.07136563876652,115.6251101321586,54.38546255506608,24.612334801762113,1.5607048458149781,37.39647577092511
