聚类数量k,惯性值
1,35880.0
2,19848.14311865991
3,15586.830177272857
4,13197.143326181298
5,11792.306325383033
6,10833.609078186872
7,10144.259969337476
8,9647.195849964526
9,9239.813725716882
10,8852.815448261634
