年份,AQI
2014,88.45429362880887
2015,84.72054794520548
2016,87.43715846994536
2017,85.01912568306011
2018,81.47042253521127
2019,67.42342342342343
2020,66.89344262295081
2021,67.02739726027397
2022,67.05479452054794
2023,71.03380281690141
2024,65.01092896174863
2025,71.94794520547946
2026,81.07594936708861
