月份,AQI
1,91.67164179104478
2,81.8991825613079
3,88.56327543424318
4,82.53571428571429
5,75.72277227722772
6,64.11666666666666
7,60.666666666666664
8,55.98280802292263
9,56.39554317548747
10,63.19113573407202
11,85.27777777777777
12,95.3743169398907
