聚类数量k,惯性值
1,35880.0
2,19848.14311865991
3,15586.830177272857
4,13197.1433261813
5,11792.306325383031
6,10833.609078186872
7,10144.259969337474
8,9647.195849964528
9,9239.81372571688
10,8852.815448261634
