,count,mean,std,min,25%,50%,75%,max,变异系数
AQI,4486.0,75.53566651805617,26.959194539196723,22.0,56.0,71.0,90.0,141.0,0.3569068200748894
PM2.5,4486.0,41.26972804279982,19.892451238891756,10.0,26.0,36.0,52.0,91.0,0.48201071783806726
PM10,4486.0,94.06052162282657,47.82921777760178,16.0,57.0,84.0,120.0,214.5,0.5084940733094404
NO2,4486.0,42.35711101203745,18.587860653986553,6.0,28.0,40.0,53.0,90.5,0.4388368377792356
SO2,4486.0,15.589612126616139,9.267046132343058,3.0,8.0,13.0,20.0,38.0,0.5944372481545858
CO,4486.0,1.0001783325902809,0.5865381416427815,0.26,0.59,0.81,1.22,4.25,0.5864335614267446
O3,4486.0,57.64823896567098,24.474394150364304,7.0,38.0,57.0,76.0,133.0,0.4245471256275251
