learning_rate,num_leaves,n_estimators,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std
0.01,15,100,10.716419722140497,0.23658115825154052,8.488802057078107,0.14057510239508217,0.843931517178125,0.003497754676241832
0.01,31,100,10.509293578608501,0.2026360984792508,8.319918341331338,0.10019935431885585,0.8499074927834446,0.002402463497919558
0.01,50,100,10.454816890685228,0.18757357014081527,8.27144586591037,0.08891030725137647,0.8514579527414993,0.0019831961752198217
0.01,15,300,3.4216646301963225,0.14770798793692413,2.378903534367463,0.08354641967631063,0.984081667451773,0.0010321022017351603
0.01,31,300,3.2629483968113453,0.14940254222132424,2.235798795817654,0.08201134725743947,0.9855237194970019,0.001002522643011231
0.01,50,300,3.2473414007289607,0.11899981681859513,2.197828468025966,0.06685232861000942,0.9856663249292301,0.000734296557777555
0.01,15,500,2.8317334564445793,0.08530572311046045,1.8327046581801856,0.06263999130236042,0.9891020427215702,0.00041555625018093936
0.01,31,500,2.7944902498584296,0.10149621522012162,1.7778180096517644,0.052924694100553414,0.9893848287688372,0.0005464717674026622
0.01,50,500,2.813832236139061,0.0745938218832499,1.7755760030902976,0.045157067644777095,0.9892383763032507,0.0003794584912512889
0.05,15,100,2.8199341084147553,0.08933174911800547,1.8261244764079652,0.0622610323213292,0.9891922241109992,0.000449045549282725
0.05,31,100,2.783212268398684,0.10589047025610406,1.772023520022828,0.061192894204096404,0.9894699671800012,0.0005742276266410491
0.05,50,100,2.8241067199207537,0.07558702688769818,1.7768529574598748,0.04441503985679003,0.9891592164026083,0.00039727461427404285
0.05,15,300,2.6955272379444297,0.09495543580288618,1.748131734903756,0.06457027342631547,0.9901216010903056,0.0005223592039495653
0.05,31,300,2.736712927907788,0.08803039897268665,1.74719602773858,0.05492420302164745,0.9898196346633064,0.0004537396587389673
0.05,50,300,2.795687038099126,0.048998148954342506,1.7786498843616847,0.03936474022870137,0.9893756210909865,0.0002745956894008038
0.05,15,500,2.6977100337632804,0.09908648522915912,1.7521602092200361,0.06420486264240109,0.9901034310541499,0.000580421452972761
0.05,31,500,2.763335992840383,0.08755406718976533,1.7717304763736983,0.05123640950375677,0.9896204157258032,0.00045906421220291493
0.05,50,500,2.8140007770929,0.049507473628747536,1.8021151883855648,0.041273274538402474,0.9892345275551092,0.0003312535606019999
0.1,15,100,2.720588780721333,0.08321460250740902,1.7732116685331332,0.05648183040001251,0.9899399249840812,0.00040888300696703374
0.1,31,100,2.757838431281703,0.08574007936948472,1.747985808741738,0.05046063915285527,0.9896603145414952,0.00047861312858985455
0.1,50,100,2.789581838449272,0.05722953547126307,1.7649226064222188,0.03798390055920951,0.9894225332745515,0.00029651794335384035
0.1,15,300,2.72864866266288,0.08715863205208214,1.7776364145491286,0.05706314935855889,0.989878480935006,0.0004677859518904697
0.1,31,300,2.8050877477681864,0.08856063680194579,1.7911390590418648,0.043137088060060454,0.9893024534854072,0.0005109736531745076
0.1,50,300,2.830056237903544,0.06600611280953347,1.8157747475768602,0.0304941404158158,0.9891099768726062,0.0004433825534094822
0.1,15,500,2.758397088816065,0.08252016695569528,1.8060172855076508,0.04951259359749024,0.9896569465126328,0.0004421661268149842
0.1,31,500,2.827107566300774,0.07809581662512115,1.8193268357987624,0.04110200179496727,0.9891344334703984,0.0004520520404938753
0.1,50,500,2.8531325099339933,0.06761335903900398,1.8401515980875935,0.03227414001998367,0.9889305796838027,0.00048075733364715364
