PM2.5,AQI
20,48
25,54
29,54
37,73
26,65
26,56
24,41
27,45
41,69
28,43
34,62
32,55
21,35
23,47
23,49
23,48
26,56
25,49
29,61
25,47
29,42
28,42
21,36
21,33
39,70
24,40
21,35
23,33
23,35
31,45
23,41
25,39
22,32
28,42
32,47
27,40
18,27
27,39
30,47
30,49
27,47
25,41
23,34
21,33
24,36
30,48
34,56
33,54
28,43
34,50
26,39
34,55
45,71
39,82
28,63
30,60
26,55
46,71
47,68
39,68
45,79
54,78
36,63
38,64
71,95
75,106
38,76
39,65
65,88
72,97
74,99
56,79
51,80
62,132
44,91
64,105
42,91
58,92
47,81
42,71
23,46
34,65
51,76
70,95
70,94
73,98
70,141
90,141
48,84
47,74
55,80
47,74
41,69
51,77
59,85
34,84
22,63
41,70
58,80
38,63
46,99
45,92
36,73
55,85
48,72
63,89
79,106
85,113
91,124
88,116
83,111
72,96
57,80
54,81
56,79
64,88
67,91
58,80
66,90
79,106
75,106
55,86
66,91
80,107
75,100
58,91
44,79
61,89
76,102
80,107
75,100
63,100
40,109
25,49
31,51
35,53
45,63
47,69
47,71
51,74
66,90
75,100
71,95
62,85
62,84
69,93
61,83
72,97
69,93
41,58
47,65
68,91
56,79
86,130
51,77
52,72
47,70
26,54
29,53
36,58
56,98
91,141
45,114
91,141
65,141
56,110
73,104
91,141
91,141
68,93
73,98
64,89
39,61
57,78
55,76
52,72
39,64
31,72
36,68
68,141
53,105
51,88
37,74
44,71
41,75
36,65
41,74
87,141
65,141
46,89
42,91
43,87
38,72
41,77
35,75
43,88
24,37
35,53
29,46
26,42
34,55
47,100
91,141
55,94
35,76
49,89
35,69
34,59
36,58
41,58
40,56
34,58
31,48
29,49
34,57
33,58
34,60
91,141
71,141
46,95
32,62
26,43
31,51
26,43
28,43
32,59
79,141
30,61
27,52
38,74
38,64
91,141
28,45
31,46
28,47
20,31
21,32
28,51
34,61
37,68
34,61
28,51
25,45
40,67
26,50
28,55
25,53
28,54
52,111
42,75
41,75
32,60
46,78
47,78
29,55
27,55
34,60
91,141
48,67
36,56
31,52
21,36
20,33
20,38
27,58
27,49
24,41
25,43
27,48
25,49
18,31
20,37
23,36
22,46
23,46
21,49
24,55
23,44
24,51
24,51
19,40
20,46
25,50
32,62
20,37
18,37
23,54
22,44
21,57
22,56
20,47
18,40
17,38
20,41
19,39
18,36
21,47
21,45
25,53
20,53
27,55
27,49
21,35
37,60
37,67
35,66
36,67
29,46
17,34
14,29
16,34
19,39
21,51
16,40
58,112
91,141
56,84
32,56
67,108
42,72
29,56
23,49
23,46
19,36
20,43
20,49
23,55
18,32
23,41
23,49
23,49
18,36
20,43
22,36
39,73
18,45
21,49
23,57
19,44
20,34
22,45
20,39
19,37
21,46
21,50
20,45
21,55
26,50
23,45
25,42
19,32
29,55
18,39
18,38
20,38
18,35
29,57
28,44
30,49
25,39
21,36
14,25
14,24
22,40
28,45
20,32
22,32
23,36
26,40
17,28
25,43
30,46
24,37
34,49
35,52
27,47
24,39
21,38
24,45
24,44
30,58
28,47
24,41
33,55
38,54
22,34
20,30
24,39
27,49
23,39
25,43
29,46
29,53
36,58
38,56
32,55
30,57
31,53
29,48
38,55
37,56
29,50
25,39
32,49
34,50
36,53
29,49
26,48
28,50
40,65
35,55
29,51
30,51
46,64
50,70
44,62
28,44
33,49
43,61
41,59
32,66
38,69
42,67
49,71
50,70
47,68
40,66
46,72
33,61
35,62
41,65
59,81
41,81
23,55
30,55
29,43
38,56
53,74
59,80
72,97
57,78
27,45
25,50
45,67
55,77
48,74
60,82
58,80
59,80
43,64
48,68
34,58
40,64
43,63
29,48
36,55
45,64
47,66
53,73
40,57
42,62
63,85
91,121
91,132
77,103
54,74
54,76
59,81
56,77
87,115
81,108
67,90
87,116
56,80
30,56
60,83
64,87
60,82
84,112
57,82
49,86
60,92
59,81
90,119
91,122
40,66
45,75
49,68
32,68
42,63
58,80
62,85
31,67
43,66
67,90
63,85
42,74
65,92
67,98
64,90
63,85
87,115
67,90
34,75
37,89
55,82
91,121
91,141
91,128
61,82
44,61
30,63
29,50
32,52
22,43
27,50
26,60
36,62
47,66
44,63
39,91
50,90
65,92
41,65
35,58
46,82
52,80
45,70
45,73
48,66
47,65
51,70
35,54
45,62
45,66
45,76
46,78
50,88
49,82
34,54
42,59
56,76
39,55
40,56
50,69
52,75
47,82
44,74
85,141
52,104
55,108
36,60
26,52
31,60
31,53
26,48
33,54
38,64
40,65
39,66
29,68
37,79
55,120
91,141
34,80
37,92
33,68
45,94
38,80
60,123
62,118
51,98
64,136
38,81
32,70
36,72
40,91
69,141
33,78
65,141
91,141
47,110
35,72
34,75
91,141
47,92
91,141
80,141
68,141
47,94
39,82
30,62
27,59
28,62
27,53
37,68
27,52
28,58
44,101
26,60
69,128
66,118
51,126
52,106
82,141
63,114
24,55
25,57
23,52
24,72
28,60
40,83
21,70
23,65
26,60
91,141
30,68
28,64
29,68
34,64
30,59
24,59
21,68
22,64
28,58
25,51
20,64
22,61
59,116
41,76
25,66
24,58
22,67
17,59
22,68
25,67
25,78
28,64
25,60
25,52
22,73
27,80
34,82
24,67
24,95
22,77
27,74
28,68
23,72
25,59
23,68
16,72
20,68
25,57
20,62
23,64
19,68
20,79
29,55
22,71
28,54
31,59
26,72
23,63
18,62
17,65
20,71
18,48
23,62
19,63
17,48
17,46
19,53
21,61
25,61
27,68
25,68
25,66
40,78
17,51
19,65
17,69
20,51
22,56
19,58
21,73
21,83
21,82
23,64
17,82
32,65
28,69
22,73
20,53
15,48
21,36
24,46
22,47
13,46
17,48
22,49
21,76
19,79
22,74
18,72
20,73
23,72
17,55
15,51
17,68
50,114
14,46
18,35
17,65
23,62
17,48
15,36
20,52
19,40
21,50
25,59
24,69
22,48
32,63
28,60
30,66
28,62
42,92
38,78
32,67
29,57
26,56
23,57
21,59
31,65
34,74
66,128
42,82
21,40
16,26
23,38
20,38
28,46
36,56
18,56
25,54
20,46
22,44
24,45
26,46
28,50
28,52
21,48
22,39
32,54
30,64
28,62
31,47
24,37
23,33
28,40
23,33
25,36
20,34
29,52
29,52
33,54
36,60
25,36
32,52
31,56
32,54
26,42
26,42
20,32
27,41
34,49
27,44
39,57
46,64
48,66
39,67
35,66
43,68
44,71
38,58
46,64
21,31
17,26
48,84
50,84
43,88
36,62
45,62
37,66
42,68
43,69
50,71
29,64
20,46
30,54
45,68
54,79
58,82
60,82
78,140
35,66
53,75
51,110
60,134
46,82
52,84
47,82
50,88
32,66
39,68
56,85
67,94
75,100
52,75
50,81
68,94
57,84
54,104
36,86
34,73
57,81
75,100
67,90
66,96
91,120
38,64
30,48
65,88
61,82
26,54
33,56
37,60
48,68
66,89
81,108
71,95
81,108
51,70
69,92
59,80
60,81
53,72
35,50
53,72
63,85
57,78
45,64
37,68
54,76
66,95
52,85
48,104
42,84
49,100
60,98
32,80
24,58
33,59
43,64
50,71
71,95
75,112
91,141
91,141
89,141
83,141
68,121
60,106
68,104
63,92
59,84
62,86
59,81
49,69
32,75
33,68
47,71
54,91
46,108
47,81
50,79
62,84
38,77
39,96
31,64
48,71
27,55
24,51
32,58
80,141
91,141
59,118
43,76
51,108
43,90
48,89
51,91
45,92
51,92
74,133
61,124
34,76
32,68
35,62
31,51
42,59
37,57
30,56
88,141
91,141
45,82
57,97
58,89
35,72
38,86
44,92
43,80
53,105
65,115
52,94
41,74
39,68
25,51
25,48
22,50
27,51
27,42
29,52
29,57
31,66
53,110
40,92
46,92
31,67
26,58
23,53
32,69
23,60
27,70
30,64
26,59
18,66
31,57
18,61
24,70
30,85
91,141
39,74
57,88
45,74
57,84
54,82
31,85
25,87
20,61
22,52
32,91
22,58
22,48
24,68
21,74
19,65
21,78
39,83
27,58
21,61
24,57
33,66
36,68
27,64
20,62
84,140
39,63
32,53
23,72
31,62
18,61
19,61
91,141
74,112
48,74
20,48
28,56
43,88
46,92
24,49
22,61
26,82
49,89
27,76
24,89
28,76
31,76
32,78
91,141
47,72
