PM2.5,AQI
82,141
41,81
49,86
42,83
42,72
47,103
68,131
54,103
67,112
30,48
57,89
41,67
26,53
33,60
25,68
32,74
36,90
35,85
39,84
44,98
59,141
27,83
34,103
38,88
36,67
33,65
32,77
24,72
25,57
40,86
41,88
34,88
37,85
30,72
25,68
22,48
19,55
40,90
31,77
34,88
31,78
33,83
26,51
38,90
34,79
30,64
41,85
49,100
49,101
44,84
74,141
24,77
50,99
66,123
52,100
47,98
49,84
64,112
35,74
48,95
91,141
32,96
33,92
32,63
60,109
39,72
44,65
41,70
28,66
75,125
24,39
19,32
21,40
39,73
21,45
24,49
31,64
52,86
43,82
32,69
39,68
49,74
42,70
39,84
22,52
31,79
35,74
28,63
19,50
25,53
29,63
48,88
31,66
30,75
49,109
27,55
30,70
35,79
53,96
40,80
33,59
43,76
50,80
32,53
46,77
30,71
36,68
59,112
35,80
44,100
27,69
33,78
37,91
26,82
33,80
31,65
24,55
20,52
20,51
36,71
35,56
20,33
31,63
24,57
30,61
28,80
24,64
34,83
22,46
33,72
32,75
48,94
51,89
23,67
18,51
31,63
30,69
32,83
28,83
31,77
26,61
20,60
19,58
19,57
23,60
28,63
27,72
37,80
39,100
25,77
26,67
39,100
23,63
32,73
27,68
32,63
33,52
46,79
32,67
22,47
17,43
24,52
46,77
41,64
18,34
23,42
16,40
22,53
29,65
31,76
30,55
32,67
43,85
42,83
38,84
40,74
45,87
37,78
23,54
38,78
39,80
24,57
37,73
36,73
26,52
34,67
43,70
39,66
37,70
29,56
34,55
44,74
37,73
36,77
40,87
45,82
41,80
29,67
35,80
32,67
39,67
41,73
42,79
38,79
36,90
68,141
32,81
35,79
29,56
25,64
38,84
37,60
43,70
66,95
53,82
46,81
33,61
51,79
35,77
49,86
50,96
45,84
52,122
49,114
28,49
56,82
34,53
38,66
47,75
30,51
20,41
39,60
49,77
51,98
63,104
76,114
91,138
91,141
91,137
51,102
54,122
68,122
71,121
91,141
91,141
90,141
91,141
66,118
91,130
91,141
91,141
91,141
79,141
89,141
44,103
32,70
47,82
62,96
62,121
91,141
91,141
76,117
49,97
79,121
91,133
91,141
91,141
91,141
54,102
70,113
91,125
91,141
91,137
91,141
91,141
74,112
83,122
73,105
69,100
91,126
91,141
91,141
91,141
91,141
67,141
75,141
91,138
85,115
45,94
34,74
68,101
61,91
50,82
84,113
91,122
68,95
91,128
91,141
91,141
91,141
51,84
47,73
44,68
31,53
25,47
52,77
86,115
91,128
87,117
55,87
39,79
39,67
59,86
74,141
71,138
60,99
54,86
78,107
91,124
91,141
91,141
63,141
56,141
35,102
37,93
39,86
46,81
63,89
66,91
59,88
83,113
62,101
30,86
33,63
61,84
30,55
59,89
91,125
81,109
61,87
68,108
50,132
50,115
66,117
76,119
62,141
70,141
52,117
52,89
64,90
37,63
46,71
53,80
34,92
50,141
42,99
46,101
44,79
30,59
39,68
30,59
43,71
43,70
44,66
45,65
43,63
43,64
48,68
56,78
79,107
45,69
59,84
46,66
48,84
41,72
46,73
40,68
45,90
32,91
43,107
54,120
84,141
58,125
28,59
28,62
34,76
40,79
45,69
60,87
55,98
48,97
66,129
32,50
39,57
39,56
37,60
42,82
47,87
49,107
34,61
45,82
91,141
91,141
32,70
44,93
57,140
42,106
35,92
35,92
40,99
30,65
28,57
36,73
39,87
41,91
37,74
41,94
52,80
69,141
91,141
91,141
88,141
47,82
42,84
47,105
61,120
30,70
37,97
47,106
27,67
27,61
35,73
39,79
30,64
38,90
39,71
39,71
53,114
68,109
36,69
37,69
35,71
37,83
35,86
33,86
58,107
62,131
62,115
43,83
47,88
46,66
37,56
29,58
30,60
32,67
30,65
26,56
41,77
36,84
34,79
29,61
29,58
34,61
37,83
39,85
38,76
41,85
32,69
26,58
32,90
35,89
30,79
32,89
28,88
31,75
36,76
33,78
26,74
24,74
28,77
19,56
32,78
23,48
29,73
30,81
34,81
21,64
24,73
28,94
30,94
35,73
30,78
24,75
26,80
25,70
28,75
29,79
68,141
24,65
32,78
19,54
19,52
31,64
26,48
11,41
18,49
26,69
31,86
23,80
37,83
34,84
28,82
24,68
23,59
21,52
21,50
25,61
20,63
28,81
24,74
20,57
22,53
26,73
25,70
25,70
20,54
22,57
22,56
17,42
26,48
15,42
27,41
37,60
31,46
22,39
29,53
28,47
22,42
34,65
51,92
26,58
34,75
30,76
25,60
26,58
31,71
37,80
26,54
26,60
32,78
40,93
30,73
32,68
