,AQI,PM2.5,PM10,NO2,SO2,CO,O3
AQI,1.0,0.8779999157350946,0.9674689392910408,0.48026504089898236,0.5343014574095616,0.5339929849409721,-0.32347198840885977
PM2.5,0.8779999157350946,1.0,0.8351895436606104,0.5937084525594611,0.6525919171632452,0.7109427370700437,-0.5399398081036468
PM10,0.9674689392910408,0.8351895436606104,1.0,0.4528794366304533,0.5059998444586582,0.4835702897055222,-0.34513486979381053
NO2,0.48026504089898236,0.5937084525594611,0.4528794366304533,1.0,0.733818325471632,0.7910095480661932,-0.6442057013633143
SO2,0.5343014574095616,0.6525919171632452,0.5059998444586582,0.733818325471632,1.0,0.8425677119384165,-0.6135333523638233
CO,0.5339929849409721,0.7109427370700437,0.4835702897055222,0.7910095480661932,0.8425677119384165,1.0,-0.6656526284311682
O3,-0.32347198840885977,-0.5399398081036468,-0.34513486979381053,-0.6442057013633143,-0.6135333523638233,-0.6656526284311682,1.0
