日期,PM2.5,PM10,NO2,SO2,CO,O3
2014-05-09,91,214.5,21.0,11,0.93,59
2014-05-10,41,91.0,25.0,10,1.11,55
2014-05-11,47,82.0,60.0,29,2.03,61
2014-05-12,49,110.0,62.0,38,1.67,58
2014-05-13,49,132.0,37.0,23,1.07,76
2014-05-14,33,90.0,24.0,16,0.81,77
2014-05-15,33,83.0,57.0,34,1.42,53
2014-05-16,38,117.0,67.0,38,1.48,57
2014-05-17,43,104.0,67.0,38,1.22,44
2014-05-18,61,165.0,50.0,33,1.33,46
2014-05-19,30,63.0,44.0,21,1.14,58
2014-05-20,60,149.0,72.0,38,1.52,56
2014-05-21,34,85.0,36.0,29,1.03,51
2014-05-22,30,80.0,31.0,16,1.08,51
2014-05-23,43,96.0,33.0,21,1.18,48
2014-05-24,91,214.5,33.0,10,0.95,51
2014-05-25,91,214.5,43.0,20,0.91,59
2014-05-26,74,199.0,56.0,29,1.52,65
2014-05-27,55,111.0,56.0,27,1.29,61
2014-05-28,61,134.0,68.0,34,1.56,46
2014-05-29,53,122.0,46.0,35,1.59,53
2014-05-30,33,83.0,36.0,17,1.15,49
2014-05-31,41,84.0,37.0,27,1.51,64
2014-06-01,55,101.0,26.0,27,1.67,60
2014-06-02,62,86.0,16.0,16,1.33,64
2014-06-03,61,90.0,16.0,15,1.21,45
2014-06-04,51,97.0,28.0,18,1.36,47
2014-06-05,42,108.0,26.0,17,1.55,53
2014-06-06,37,93.0,15.0,11,1.25,74
2014-06-07,53,131.0,44.0,31,1.44,45
2014-06-08,40,96.0,24.0,17,0.73,67
2014-06-09,34,76.0,26.0,15,0.8,54
2014-06-10,44,79.0,34.0,21,1.12,46
2014-06-11,56,106.0,37.0,19,1.01,52
2014-06-12,45,74.0,29.0,19,1.02,66
2014-06-13,59,72.0,28.0,11,1.02,53
2014-06-14,85,126.0,35.0,27,1.36,66
2014-06-15,52,109.0,32.0,26,1.49,71
2014-06-16,36,96.0,28.0,24,0.99,72
2014-06-17,50,132.0,33.0,34,1.28,61
2014-06-18,48,92.0,16.0,15,0.76,50
2014-06-19,40,60.0,21.0,7,0.81,45
2014-06-20,45,95.0,37.0,20,1.24,33
2014-06-21,53,122.0,37.0,16,1.31,51
2014-06-22,41,113.0,37.0,16,1.22,39
2014-06-23,40,83.0,25.0,12,0.95,47
2014-06-24,37,66.0,21.0,6,0.85,40
2014-06-25,79,117.0,41.0,10,1.15,43
2014-06-26,63,112.0,48.0,28,1.84,45
2014-06-27,61,141.0,28.0,11,0.84,48
2014-06-28,41,56.0,30.0,6,0.81,41
2014-06-29,42,80.0,38.0,14,1.47,40
2014-06-30,54,86.0,48.0,15,0.91,39
2014-07-01,53,92.0,43.0,21,1.22,51
2014-07-02,57,113.0,48.0,23,1.26,53
2014-07-03,38,65.0,37.0,8,0.84,56
2014-07-04,53,111.0,54.0,21,1.29,56
2014-07-05,44,102.0,42.0,16,1.04,57
2014-07-06,42,84.0,26.0,9,0.78,52
2014-07-07,68,161.0,25.0,9,0.76,53
2014-07-08,42,58.0,22.0,6,0.9,39
2014-07-09,32,39.0,22.0,6,0.85,43
2014-07-10,39,64.0,27.0,9,0.9,40
2014-07-11,48,118.0,49.0,14,0.96,31
2014-07-12,48,130.0,36.0,12,0.63,41
2014-07-13,41,82.0,52.0,12,1.11,35
2014-07-14,43,94.0,54.0,18,1.5,45
2014-07-15,43,93.0,41.0,21,0.78,68
2014-07-16,36,83.0,43.0,16,0.87,54
2014-07-17,39,87.0,41.0,14,0.81,52
2014-07-18,36,69.0,31.0,8,0.8,43
2014-07-19,40,60.0,31.0,10,0.92,45
2014-07-20,29,50.0,31.0,9,0.82,23
2014-07-21,38,73.0,25.0,9,0.79,33
2014-07-22,37,51.0,35.0,5,0.99,24
2014-07-23,44,63.0,45.0,7,1.42,38
2014-07-24,60,95.0,52.0,16,1.75,44
2014-07-25,54,135.0,54.0,16,1.22,50
2014-07-26,45,112.0,52.0,17,1.13,45
2014-07-27,36,68.0,34.0,11,1.19,54
2014-07-28,38,92.0,39.0,15,1.22,44
2014-07-29,44,108.0,36.0,16,0.92,48
2014-07-30,50,109.0,40.0,17,1.31,40
2014-07-31,47,95.0,36.0,10,0.72,30
2014-08-01,41,91.0,36.0,15,0.94,41
2014-08-02,70,157.0,39.0,17,0.8,34
2014-08-03,44,92.0,26.0,16,0.78,38
2014-08-04,34,51.0,28.0,10,0.86,31
2014-08-05,62,81.0,36.0,12,0.99,27
2014-08-06,26,36.0,27.0,11,0.78,46
2014-08-07,43,88.0,41.0,18,1.15,51
2014-08-09,47,108.0,51.0,15,1.23,52
2014-08-10,50,126.0,56.0,16,1.29,29
2014-08-11,37,58.0,29.0,11,0.71,48
2014-08-12,35,54.0,42.0,14,0.74,52
2014-08-13,33,70.0,44.0,19,0.75,46
2014-08-14,36,84.0,48.0,19,0.91,63
2014-08-15,49,116.0,64.0,23,1.23,59
2014-08-16,42,102.0,46.0,16,0.84,62
2014-08-17,33,77.0,25.0,18,0.68,61
2014-08-18,49,116.0,40.0,24,1.19,44
2014-08-19,39,104.0,31.0,16,0.86,62
2014-08-20,44,91.0,31.0,17,1.09,48
2014-08-21,67,104.0,38.0,14,1.61,30
2014-08-23,53,99.0,39.0,9,1.08,33
2014-08-24,40,81.0,42.0,20,1.45,47
2014-08-25,46,107.0,46.0,21,1.28,40
2014-08-26,45,82.0,42.0,26,1.36,58
2014-08-27,49,129.0,33.0,24,1.38,52
2014-08-28,31,70.0,18.0,12,0.82,49
2014-08-29,34,63.0,16.0,8,0.72,43
2014-08-30,32,53.0,15.0,7,0.64,48
2014-08-31,43,93.0,28.0,19,1.11,32
2014-09-01,36,76.0,23.0,9,0.79,39
2014-09-02,36,80.0,26.0,13,0.94,41
2014-09-03,46,120.0,33.0,20,1.17,51
2014-09-04,48,119.0,28.0,18,1.03,49
2014-09-05,38,86.0,21.0,13,0.78,42
2014-09-06,42,67.0,19.0,12,0.82,36
2014-09-07,43,70.0,26.0,18,1.01,44
2014-09-08,76,126.0,34.0,17,1.18,21
2014-09-09,90,126.0,33.0,14,1.38,35
2014-09-10,34,75.0,28.0,13,1.07,26
2014-09-11,30,40.0,19.0,11,0.98,31
2014-09-12,50,90.0,39.0,23,1.83,24
2014-09-13,77,186.0,25.0,15,1.07,27
2014-09-14,37,61.0,17.0,9,0.71,36
2014-09-15,29,49.0,22.0,11,0.88,41
2014-09-16,23,39.0,23.0,9,0.93,37
2014-09-17,36,71.0,37.0,12,1.02,45
2014-09-18,54,108.0,43.0,20,1.37,44
2014-09-19,47,107.0,49.0,23,1.25,45
2014-09-20,34,98.0,42.0,20,1.25,39
2014-09-21,27,54.0,27.0,13,1.15,27
2014-09-22,25,40.0,23.0,8,0.85,41
2014-09-23,43,66.0,42.0,12,1.45,42
2014-09-24,58,119.0,49.0,21,1.67,54
2014-09-25,35,85.0,36.0,13,1.08,47
2014-09-26,47,100.0,38.0,22,1.27,37
2014-09-27,62,126.0,39.0,23,1.43,33
2014-09-28,50,83.0,31.0,13,1.24,49
2014-09-29,56,128.0,37.0,21,1.35,44
2014-09-30,33,76.0,19.0,14,1.06,39
2014-10-01,36,78.0,17.0,10,0.93,40
2014-10-02,59,144.0,28.0,16,1.19,44
2014-10-03,51,132.0,22.0,17,0.96,51
2014-10-04,29,73.0,16.0,11,0.79,50
2014-10-05,43,101.0,33.0,25,1.42,40
2014-10-06,39,91.0,27.0,21,1.16,43
2014-10-07,49,93.0,34.0,24,1.11,37
2014-10-08,59,101.0,31.0,24,1.21,41
2014-10-09,33,64.0,22.0,10,0.9,41
2014-10-10,45,91.0,20.0,15,0.93,41
2014-10-11,12,22.0,13.0,9,0.68,53
2014-10-12,28,39.0,25.0,13,1.05,41
2014-10-13,50,80.0,35.0,17,1.42,43
2014-10-14,79,134.0,44.0,25,1.88,42
2014-10-15,59,127.0,40.0,22,1.17,28
2014-10-16,55,98.0,36.0,17,1.44,22
2014-10-17,91,136.0,53.0,20,1.75,28
2014-10-18,91,132.0,46.0,24,1.44,37
2014-10-19,47,98.0,41.0,24,1.14,42
2014-10-20,49,97.0,38.0,19,1.16,33
2014-10-21,40,73.0,48.0,16,1.25,41
2014-10-22,59,120.0,48.0,23,1.48,38
2014-10-23,71,132.0,52.0,30,1.72,31
2014-10-24,70,126.0,60.0,33,1.91,34
2014-10-25,55,105.0,48.0,30,1.69,27
2014-10-26,63,103.0,46.0,26,1.62,36
2014-10-27,46,78.0,35.0,17,1.25,34
2014-10-28,21,45.0,34.0,11,1.06,35
2014-10-29,46,85.0,36.0,18,1.49,37
2014-10-30,25,41.0,32.0,13,0.96,35
2014-10-31,22,37.0,31.0,11,0.87,41
2014-11-01,26,46.0,34.0,11,0.72,52
2014-11-02,58,115.0,66.0,22,1.64,30
2014-11-03,91,166.0,90.5,33,2.33,41
2014-11-04,79,129.0,83.0,31,2.5,13
2014-11-05,83,135.0,83.0,36,2.75,21
2014-11-06,91,150.0,76.0,32,2.76,7
2014-11-07,75,122.0,67.0,33,2.09,21
2014-11-08,77,119.0,68.0,27,2.26,10
2014-11-09,44,70.0,45.0,20,1.32,16
2014-11-10,41,106.0,28.0,16,0.8,43
2014-11-11,44,110.0,42.0,15,1.17,35
2014-11-12,31,82.0,32.0,20,0.97,36
2014-11-13,84,159.0,65.0,34,2.33,18
2014-11-14,71,140.0,42.0,30,1.92,18
2014-11-15,40,109.0,25.0,20,1.12,35
2014-11-16,73,161.0,46.0,29,2.14,20
2014-11-17,87,170.0,53.0,36,2.59,18
2014-11-18,91,167.0,48.0,38,2.82,18
2014-11-19,86,156.0,60.0,37,2.0,21
2014-11-20,75,155.0,54.0,29,1.79,18
2014-11-21,79,132.0,66.0,38,2.08,17
2014-11-22,72,115.0,45.0,37,1.79,28
2014-11-23,54,99.0,48.0,30,1.55,32
2014-11-24,72,100.0,46.0,21,1.65,22
2014-11-25,91,172.0,68.0,29,3.08,10
2014-11-26,65,110.0,34.0,22,1.95,29
2014-11-27,23,41.0,28.0,11,0.85,40
2014-11-28,75,118.0,57.0,18,2.14,16
2014-11-29,59,91.0,40.0,19,1.9,29
2014-11-30,21,60.0,25.0,12,0.84,52
2014-12-01,79,156.0,66.0,34,2.73,19
2014-12-02,82,164.0,57.0,29,2.83,12
2014-12-03,30,88.0,34.0,24,1.15,46
2014-12-04,69,143.0,63.0,38,2.63,32
2014-12-05,91,204.0,78.0,38,4.25,27
2014-12-06,63,104.0,43.0,23,1.79,27
2014-12-07,71,165.0,58.0,38,2.53,15
2014-12-08,91,145.0,63.0,31,2.91,15
2014-12-09,33,82.0,25.0,15,0.95,32
2014-12-10,54,159.0,44.0,24,1.41,22
2014-12-11,36,139.0,23.0,14,0.79,51
2014-12-12,54,136.0,49.0,20,1.65,19
2014-12-13,91,181.0,68.0,36,2.49,12
2014-12-14,84,197.0,56.0,38,2.06,25
2014-12-15,40,143.0,27.0,16,0.72,53
2014-12-16,65,120.0,68.0,38,2.14,14
2014-12-17,91,159.0,69.0,38,3.41,16
2014-12-18,91,212.0,82.0,38,3.15,28
2014-12-19,84,134.0,54.0,38,2.11,20
2014-12-20,49,95.0,35.0,34,1.39,31
2014-12-21,42,75.0,40.0,33,1.63,27
2014-12-22,91,155.0,59.0,38,3.05,16
2014-12-23,91,163.0,60.0,38,2.87,18
2014-12-24,79,118.0,52.0,38,2.13,22
2014-12-25,88,136.0,60.0,38,2.42,20
2014-12-26,91,165.0,56.0,38,2.51,18
2014-12-27,91,189.0,62.0,38,2.83,17
2014-12-28,91,214.5,71.0,38,3.29,20
2014-12-29,91,173.0,66.0,38,3.0,23
2014-12-30,81,136.0,50.0,38,2.38,23
2014-12-31,34,85.0,37.0,35,1.7,16
2015-01-01,91,164.0,57.0,38,2.91,20
2015-01-02,91,179.0,59.0,38,3.21,21
2015-01-03,91,212.0,74.0,38,3.69,18
2015-01-04,56,111.0,37.0,30,1.45,37
2015-01-05,17,52.0,31.0,25,1.17,39
2015-01-06,34,66.0,41.0,33,1.81,23
2015-01-07,46,79.0,40.0,28,1.8,19
2015-01-08,64,115.0,55.0,38,2.67,18
2015-01-09,88,138.0,69.0,38,3.41,17
2015-01-10,81,133.0,69.0,38,3.62,20
2015-01-11,87,149.0,73.0,38,4.21,19
2015-01-12,91,161.0,80.0,38,4.03,20
2015-01-13,69,108.0,46.0,34,2.64,25
2015-01-14,70,111.0,50.0,31,2.23,23
2015-01-15,31,75.0,33.0,22,1.37,49
2015-01-16,68,132.0,73.0,38,3.09,28
2015-01-17,57,114.0,48.0,29,2.21,41
2015-01-18,50,101.0,62.0,33,2.85,37
2015-01-19,63,118.0,67.0,38,3.48,32
2015-01-20,64,120.0,57.0,38,2.76,38
2015-01-21,53,124.0,86.0,38,3.61,35
2015-01-22,79,146.0,84.0,38,3.69,26
2015-01-23,88,152.0,75.0,38,3.1,29
2015-01-24,45,120.0,39.0,28,1.89,50
2015-01-25,73,137.0,63.0,38,2.97,32
2015-01-26,33,103.0,25.0,23,1.56,58
2015-01-27,31,72.0,33.0,27,1.78,46
2015-01-28,38,87.0,26.0,22,1.55,43
2015-01-29,32,104.0,28.0,20,1.8,49
2015-01-30,38,77.0,37.0,18,1.99,36
2015-01-31,61,73.0,36.0,23,2.41,42
2015-02-01,66,81.0,39.0,19,2.51,40
2015-02-02,59,75.0,39.0,24,2.29,47
2015-02-03,67,98.0,41.0,30,2.39,45
2015-02-04,42,52.0,20.0,16,1.66,70
2015-02-05,58,76.0,43.0,22,2.21,44
2015-02-06,65,96.0,36.0,28,2.1,45
2015-02-07,42,91.0,37.0,19,1.87,53
2015-02-08,55,116.0,52.0,24,2.22,48
2015-02-09,68,131.0,63.0,35,2.64,42
2015-02-10,68,120.0,56.0,35,2.49,42
2015-02-11,54,111.0,69.0,38,2.66,39
2015-02-12,58,114.0,75.0,38,3.14,38
2015-02-13,53,103.0,64.0,38,2.99,36
2015-02-14,80,214.5,42.0,32,2.51,46
2015-02-15,29,103.0,24.0,15,1.42,63
2015-02-16,45,103.0,49.0,34,2.29,51
2015-02-17,48,100.0,46.0,38,2.58,53
2015-02-18,65,120.0,39.0,38,2.31,59
2015-02-19,91,138.0,30.0,30,2.0,57
2015-02-20,35,102.0,15.0,15,1.08,73
2015-02-21,27,84.0,16.0,13,1.15,62
2015-02-22,30,81.0,26.0,19,1.44,63
2015-02-23,37,98.0,22.0,16,1.39,66
2015-02-24,29,57.0,28.0,10,1.58,40
2015-02-25,57,208.0,26.0,9,1.43,47
2015-02-26,38,97.0,31.0,12,1.45,51
2015-02-27,43,160.0,17.0,16,1.14,63
2015-02-28,18,45.0,20.0,15,1.17,58
2015-03-01,46,83.0,37.0,30,2.2,65
2015-03-02,61,214.5,31.0,23,1.59,48
2015-03-03,76,214.5,24.0,11,1.34,58
2015-03-04,52,175.0,26.0,17,1.49,43
2015-03-05,59,123.0,34.0,25,1.84,36
2015-03-06,57,112.0,40.0,22,1.91,39
2015-03-07,42,96.0,31.0,20,1.55,50
2015-03-08,35,123.0,20.0,12,1.05,87
2015-03-09,47,186.0,17.0,16,0.95,64
2015-03-10,42,132.0,26.0,25,1.18,48
2015-03-11,52,146.0,47.0,29,1.55,49
2015-03-12,71,199.0,61.0,35,1.56,72
2015-03-13,42,162.0,35.0,16,0.87,56
2015-03-14,54,214.5,40.0,13,0.95,52
