PM2.5,PM10
38,66.0
45,95.0
37,88.0
36,63.0
37,76.0
48,87.0
29,81.0
17,51.0
37,98.0
76,214.5
53,144.0
44,104.0
45,71.0
63,88.0
88,122.0
47,67.0
48,109.0
38,103.0
39,69.0
33,45.0
38,93.0
36,80.0
53,105.0
41,99.0
40,79.0
38,93.0
39,95.0
46,92.0
37,93.0
40,129.0
30,87.0
32,78.0
37,82.0
25,53.0
42,107.0
45,126.0
43,104.0
43,94.0
42,81.0
47,91.0
51,89.0
48,83.0
51,96.0
35,82.0
41,60.0
36,61.0
35,81.0
31,77.0
25,74.0
24,43.0
19,36.0
26,56.0
27,75.0
29,74.0
46,136.0
29,69.0
33,102.0
62,214.5
56,177.0
43,89.0
36,83.0
36,100.0
24,68.0
37,117.0
30,72.0
32,90.0
34,107.0
32,91.0
28,68.0
33,82.0
38,102.0
37,102.0
28,69.0
28,64.0
29,54.0
33,45.0
26,43.0
33,94.0
32,91.0
27,65.0
29,36.0
20,24.0
18,31.0
26,59.0
28,65.0
27,70.0
38,99.0
26,67.0
35,71.0
39,99.0
40,100.0
41,101.0
25,59.0
42,117.0
28,61.0
53,115.0
53,79.0
49,163.0
57,140.0
33,67.0
30,59.0
46,71.0
40,114.0
40,170.0
39,115.0
39,142.0
43,122.0
35,110.0
29,80.0
47,140.0
27,87.0
36,102.0
34,106.0
33,103.0
42,115.0
41,83.0
42,110.0
60,145.0
48,108.0
23,75.0
45,108.0
61,157.0
58,146.0
24,64.0
24,48.0
45,79.0
35,57.0
29,51.0
20,47.0
49,88.0
68,115.0
25,64.0
31,70.0
40,57.0
71,131.0
51,102.0
37,74.0
24,95.0
35,96.0
32,48.0
38,87.0
64,132.0
83,143.0
68,116.0
56,92.0
47,78.0
61,128.0
39,95.0
44,146.0
41,144.0
40,101.0
69,110.0
63,114.0
76,145.0
84,142.0
65,113.0
28,79.0
23,45.0
40,84.0
85,169.0
91,192.0
89,175.0
91,200.0
91,214.5
64,158.0
32,123.0
35,100.0
56,141.0
91,190.0
91,186.0
91,195.0
87,164.0
83,145.0
77,136.0
91,160.0
40,58.0
24,34.0
43,71.0
40,73.0
42,81.0
72,121.0
72,122.0
77,126.0
91,149.0
91,157.0
89,132.0
85,130.0
70,113.0
90,149.0
91,171.0
48,90.0
60,117.0
82,134.0
91,173.0
91,174.0
91,178.0
74,118.0
69,125.0
73,134.0
38,83.0
55,103.0
54,98.0
81,132.0
91,146.0
76,118.0
45,82.0
39,79.0
59,105.0
60,110.0
91,166.0
88,151.0
50,197.0
41,99.0
54,135.0
29,73.0
40,107.0
12,38.0
20,61.0
23,53.0
60,102.0
66,113.0
82,127.0
75,116.0
91,139.0
86,129.0
35,78.0
48,86.0
75,124.0
74,116.0
59,114.0
38,98.0
45,87.0
75,128.0
91,153.0
77,122.0
84,127.0
78,137.0
28,117.0
15,54.0
31,61.0
41,70.0
56,89.0
68,109.0
73,214.5
81,214.5
88,214.5
62,214.5
59,205.0
57,182.0
45,113.0
40,89.0
46,90.0
47,103.0
77,214.5
35,92.0
32,82.0
26,71.0
33,72.0
54,214.5
41,206.0
61,214.5
66,214.5
53,214.5
58,214.5
42,90.0
53,124.0
82,214.5
41,109.0
49,121.0
42,114.0
42,92.0
47,154.0
68,210.0
54,154.0
67,171.0
30,48.0
57,125.0
41,82.0
26,54.0
33,69.0
25,84.0
32,96.0
36,129.0
35,118.0
39,116.0
44,140.0
59,214.5
27,114.0
34,153.0
38,125.0
36,82.0
33,79.0
32,102.0
24,92.0
25,61.0
40,117.0
41,125.0
34,124.0
37,118.0
30,89.0
25,86.0
22,48.0
19,51.0
40,118.0
31,102.0
34,125.0
31,102.0
33,114.0
26,47.0
38,89.0
34,106.0
