月份,AQI
2014-01,105.76666666666667
2014-02,92.25
2014-03,100.66666666666667
2014-04,89.7
2014-05,92.6774193548387
2014-06,79.46666666666667
2014-07,71.93548387096774
2014-08,71.89655172413794
2014-09,72.76666666666667
2014-10,76.25806451612904
2014-11,95.56666666666666
2014-12,112.2258064516129
2015-01,93.25806451612904
2015-02,84.71428571428571
2015-03,100.87096774193549
2015-04,89.43333333333334
2015-05,84.58064516129032
2015-06,81.96666666666667
2015-07,75.06451612903226
2015-08,71.25806451612904
2015-09,64.8
2015-10,75.70967741935483
2015-11,90.73333333333333
2015-12,103.87096774193549
2016-01,92.0
2016-02,97.86206896551724
2016-03,94.0
2016-04,80.43333333333334
2016-05,82.2258064516129
2016-06,74.16666666666667
2016-07,68.12903225806451
2016-08,64.48387096774194
2016-09,72.1
2016-10,78.48387096774194
2016-11,123.56666666666666
2016-12,122.48387096774194
2017-01,105.38709677419355
2017-02,97.71428571428571
2017-03,82.87096774193549
2017-04,87.03225806451613
2017-05,94.3125
2017-06,73.76666666666667
2017-07,72.58064516129032
2017-08,60.12903225806452
2017-09,70.53333333333333
2017-10,72.33333333333333
2017-11,95.96666666666667
2017-12,107.64516129032258
2018-01,103.2258064516129
2018-02,87.03571428571429
2018-03,105.09677419354838
2018-04,101.80645161290323
2018-05,89.80645161290323
2018-06,74.3
2018-07,64.16129032258064
2018-08,60.7037037037037
2018-09,51.724137931034484
2018-10,65.74193548387096
2018-11,81.63333333333334
2018-12,89.72
2019-01,72.87096774193549
2019-02,70.21428571428571
2019-03,72.09677419354838
2019-04,69.86666666666666
2019-05,66.70967741935483
2019-06,49.608695652173914
2019-07,54.54545454545455
2019-08,47.857142857142854
2019-09,50.8
2019-10,62.59375
2019-11,78.43333333333334
2019-12,94.74193548387096
2020-01,83.90322580645162
2020-02,73.27586206896552
2020-03,77.64516129032258
2020-04,76.36666666666666
2020-05,67.2258064516129
2020-06,57.63333333333333
2020-07,49.83870967741935
2020-08,47.45161290322581
2020-09,48.166666666666664
2020-10,62.54838709677419
2020-11,83.33333333333333
2020-12,75.6774193548387
2021-01,82.2258064516129
2021-02,65.71428571428571
2021-03,104.0
2021-04,65.0
2021-05,69.58064516129032
2021-06,52.86666666666667
2021-07,50.45161290322581
2021-08,50.903225806451616
2021-09,46.9
2021-10,55.38709677419355
2021-11,79.3
2021-12,81.09677419354838
2022-01,83.87096774193549
2022-02,65.64285714285714
2022-03,89.19354838709677
2022-04,81.53333333333333
2022-05,58.645161290322584
2022-06,49.666666666666664
2022-07,48.483870967741936
2022-08,41.54838709677419
2022-09,51.266666666666666
2022-10,58.806451612903224
2022-11,73.7
2022-12,101.7741935483871
2023-01,103.3225806451613
2023-02,82.21428571428571
2023-03,85.65625
2023-04,90.2
2023-05,66.48387096774194
2023-06,53.46666666666667
2023-07,50.87096774193548
2023-08,49.45161290322581
2023-09,48.2
2023-10,42.95
2023-11,79.36666666666666
2023-12,90.45161290322581
2024-01,86.51612903225806
2024-02,94.10344827586206
2024-03,82.3225806451613
2024-04,69.9
2024-05,59.806451612903224
2024-06,45.46666666666667
2024-07,56.70967741935484
2024-08,44.87096774193548
2024-09,40.96666666666667
2024-10,51.806451612903224
2024-11,67.73333333333333
2024-12,80.64516129032258
2025-01,88.93548387096774
2025-02,67.71428571428571
2025-03,76.74193548387096
2025-04,96.46666666666667
2025-05,78.96774193548387
2025-06,68.33333333333333
2025-07,63.45161290322581
2025-08,58.41935483870968
2025-09,58.36666666666667
2025-10,48.806451612903224
2025-11,74.0
2025-12,83.06451612903226
2026-01,90.90322580645162
2026-02,85.53571428571429
2026-03,80.64516129032258
2026-04,74.43333333333334
2026-05,72.7741935483871
2026-06,86.85714285714286
